Latitude,Longitude,Ru [GV],Rc [GV],Rl [GV],PTF
-90.0,0.0,0.02,0.02,0.02,0.0
-90.0,15.0,0.02,0.02,0.02,0.0
-90.0,30.0,0.02,0.02,0.02,0.0
-90.0,45.0,0.02,0.02,0.02,0.0
-90.0,60.0,0.02,0.02,0.02,0.0
-90.0,75.0,0.02,0.02,0.02,0.0
-90.0,90.0,0.02,0.02,0.02,0.0
-90.0,105.0,0.02,0.02,0.02,0.0
-90.0,120.0,0.02,0.02,0.02,0.0
-90.0,135.0,0.02,0.02,0.02,0.0
-90.0,150.0,0.02,0.02,0.02,0.0
-90.0,165.0,0.02,0.02,0.02,0.0
-90.0,180.0,0.02,0.02,0.02,0.0
-90.0,195.0,0.02,0.02,0.02,0.0
-90.0,210.0,0.02,0.02,0.02,0.0
-90.0,225.0,0.02,0.02,0.02,0.0
-90.0,240.0,0.02,0.02,0.02,0.0
-90.0,255.0,0.02,0.02,0.02,0.0
-90.0,270.0,0.02,0.02,0.02,0.0
-90.0,285.0,0.02,0.02,0.02,0.0
-90.0,300.0,0.02,0.02,0.02,0.0
-90.0,315.0,0.02,0.02,0.02,0.0
-90.0,330.0,0.02,0.02,0.02,0.0
-90.0,345.0,0.02,0.02,0.02,0.0
-90.0,360.0,0.02,0.02,0.02,0.0
-85.0,0.0,0.02,0.02,0.02,0.0
-85.0,15.0,0.0,0.0,0.0,0.0
-85.0,30.0,0.0,0.0,0.0,0.0
-85.0,45.0,0.0,0.0,0.0,0.0
-85.0,60.0,0.0,0.0,0.0,0.0
-85.0,75.0,0.0,0.0,0.0,0.0
-85.0,90.0,0.0,0.0,0.0,0.0
-85.0,105.0,0.0,0.0,0.0,0.0
-85.0,120.0,0.0,0.0,0.0,0.0
-85.0,135.0,0.0,0.0,0.0,0.0
-85.0,150.0,0.0,0.0,0.0,0.0
-85.0,165.0,0.0,0.0,0.0,0.0
-85.0,180.0,0.0,0.0,0.0,0.0
-85.0,195.0,0.0,0.0,0.0,0.0
-85.0,210.0,0.0,0.0,0.0,0.0
-85.0,225.0,0.0,0.0,0.0,0.0
-85.0,240.0,0.02,0.02,0.02,0.0
-85.0,255.0,0.02,0.02,0.02,0.0
-85.0,270.0,0.04,0.04,0.04,0.0
-85.0,285.0,0.04,0.04,0.04,0.0
-85.0,300.0,0.03,0.03,0.03,0.0
-85.0,315.0,0.02,0.02,0.02,0.0
-85.0,330.0,0.02,0.02,0.02,0.0
-85.0,345.0,0.02,0.02,0.02,0.0
-85.0,360.0,0.02,0.02,0.02,0.0
-80.0,0.0,0.02,0.02,0.02,0.0
-80.0,15.0,0.0,0.0,0.0,0.0
-80.0,30.0,0.0,0.0,0.0,0.0
-80.0,45.0,0.0,0.0,0.0,0.0
-80.0,60.0,0.0,0.0,0.0,0.0
-80.0,75.0,0.0,0.0,0.0,0.0
-80.0,90.0,0.0,0.0,0.0,0.0
-80.0,105.0,0.0,0.0,0.0,0.0
-80.0,120.0,0.0,0.0,0.0,0.0
-80.0,135.0,0.0,0.0,0.0,0.0
-80.0,150.0,0.0,0.0,0.0,0.0
-80.0,165.0,0.0,0.0,0.0,0.0
-80.0,180.0,0.0,0.0,0.0,0.0
-80.0,195.0,0.0,0.0,0.0,0.0
-80.0,210.0,0.0,0.0,0.0,0.0
-80.0,225.0,0.05,0.05,0.05,0.0
-80.0,240.0,0.07,0.07,0.07,0.0
-80.0,255.0,0.09,0.09,0.09,0.0
-80.0,270.0,0.12,0.12,0.12,0.0
-80.0,285.0,0.15,0.13,0.11,0.5
-80.0,300.0,0.1,0.1,0.1,0.0
-80.0,315.0,0.1,0.09,0.07,0.33
-80.0,330.0,0.1,0.09,0.06,0.25
-80.0,345.0,0.03,0.03,0.03,0.0
-80.0,360.0,0.02,0.02,0.02,0.0
-75.0,0.0,0.12,0.1,0.07,0.4
-75.0,15.0,0.02,0.02,0.02,0.0
-75.0,30.0,0.0,0.0,0.0,0.0
-75.0,45.0,0.0,0.0,0.0,0.0
-75.0,60.0,0.0,0.0,0.0,0.0
-75.0,75.0,0.02,0.02,0.02,0.0
-75.0,90.0,0.02,0.02,0.02,0.0
-75.0,105.0,0.0,0.0,0.0,0.0
-75.0,120.0,0.0,0.0,0.0,0.0
-75.0,135.0,0.0,0.0,0.0,0.0
-75.0,150.0,0.0,0.0,0.0,0.0
-75.0,165.0,0.0,0.0,0.0,0.0
-75.0,180.0,0.0,0.0,0.0,0.0
-75.0,195.0,0.0,0.0,0.0,0.0
-75.0,210.0,0.06,0.06,0.06,0.0
-75.0,225.0,0.15,0.1,0.09,0.83
-75.0,240.0,0.26,0.15,0.14,0.92
-75.0,255.0,0.35,0.32,0.29,0.5
-75.0,270.0,0.52,0.5,0.46,0.33
-75.0,285.0,0.64,0.58,0.55,0.67
-75.0,300.0,0.62,0.55,0.48,0.5
-75.0,315.0,0.6,0.49,0.47,0.85
-75.0,330.0,0.52,0.37,0.33,0.79
-75.0,345.0,0.36,0.27,0.25,0.82
-75.0,360.0,0.12,0.1,0.07,0.4
-70.0,0.0,0.68,0.64,0.53,0.27
